500 25000
164 259 396
363 345 734
199 237 374
192 175 796
252 82 452
373 463 301
384 313 623
193 36 501
267 492 550
199 231 848
220 395 960
116 259 805
202 458 395
76 2 922
224 255 5
176 480 820
329 216 634
305 410 670
306 177 162
208 228 393
408 448 140
220 64 751
26 267 561
273 195 564
195 272 671
200 448 3
21 278 719
155 435 129
177 241 306
339 301 386
84 209 334
76 430 899
328 308 518
389 81 565
305 276 837
476 329 138
479 202 416
51 357 351
180 386 444
339 77 597
225 13 306
412 89 588
311 417 896
181 307 329
246 112 458
436 441 287
74 272 989
342 323 198
45 356 936
489 195 13
438 272 526
244 184 615
185 347 33
433 28 692
115 127 156
73 63 97
212 489 222
53 331 545
103 376 901
39 217 948
52 155 721
430 251 257
45 436 105
430 370 485
474 337 964
131 410 27
228 474 868
450 27 199
348 130 75
101 21 292
50 425 447
123 355 199
380 252 487
485 183 209
323 9 46
287 140 456
167 369 782
35 171 309
235 371 291
310 473 664
103 375 89
402 350 444
453 230 49
441 68 584
150 391 93
197 178 734
5 345 955
288 381 978
449 468 350
93 278 675
257 233 902
347 488 752
143 441 482
192 382 902
276 33 793
370 82 824
456 439 21
411 227 254
389 29 722
91 122 501
266 379 586
20 78 74
107 118 750
9 395 635
155 117 569
479 73 9
352 336 736
107 225 117
329 169 739
182 435 971
269 308 901
195 80 975
63 39 594
166 49 341
153 56 958
223 387 883
232 239 71
320 346 796
438 28 817
29 210 105
0 331 913
402 379 993
229 442 533
323 460 434
164 114 490
474 189 229
209 273 968
280 93 667
429 383 695
246 413 905
351 265 237
116 19 116
110 249 410
495 424 223
281 441 189
271 267 878
352 477 651
320 109 596
487 390 832
34 489 97
292 340 362
381 309 234
349 419 983
259 266 907
334 47 700
23 170 968
253 22 945
256 194 406
353 34 797
37 68 286
134 360 978
348 241 787
82 90 58
65 202 324
325 388 723
25 412 745
493 165 267
290 274 314
49 127 848
346 16 268
484 150 481
462 498 74
102 81 517
12 498 219
337 323 459
412 201 371
158 46 889
277 337 663
91 386 642
291 84 658
60 420 160
393 234 158
467 336 591
484 349 90
55 38 265
15 302 818
386 460 365
127 90 554
142 181 792
136 325 228
294 237 148
306 130 882
317 97 219
408 82 920
350 137 310
468 152 112
286 391 425
3 370 515
57 13 48
349 149 873
77 296 610
77 454 740
460 271 338
31 32 272
451 234 761
113 202 266
225 341 157
150 344 379
165 254 244
214 103 746
439 33 542
50 110 496
290 422 120
480 453 652
252 256 886
14 369 441
280 95 782
289 97 978
20 115 232
265 181 688
11 120 221
405 170 683
253 313 606
373 145 559
25 250 168
205 396 984
487 37 82
465 409 549
50 174 730
238 185 202
459 442 225
494 196 890
452 69 535
364 447 785
32 211 401
69 268 649
406 255 38
340 72 948
389 122 622
471 360 160
173 171 102
250 18 298
140 470 868
176 334 167
461 366 378
363 288 646
364 194 753
403 34 677
351 275 652
473 246 364
485 271 388
88 22 406
238 162 728
458 190 563
125 152 781
355 367 69
353 231 115
458 486 1
136 337 628
140 163 726
4 148 498
244 236 872
2 327 386
231 285 577
294 411 581
427 266 800
497 120 883
464 78 870
318 66 707
446 58 370
173 63 371
23 159 459
247 162 286
133 393 72
62 39 983
495 466 101
295 315 73
179 280 4
401 450 570
108 396 129
331 69 44
202 444 55
161 191 217
448 177 962
372 91 501
355 87 320
308 234 135
382 265 767
238 166 217
308 127 114
289 458 535
185 12 332
93 25 23
310 325 52
125 197 644
478 404 83
298 213 817
434 447 83
53 185 101
271 345 228
237 487 538
124 24 50
456 117 576
332 280 401
236 405 599
380 383 855
463 34 568
281 468 867
216 373 52
317 144 750
46 233 737
84 358 113
487 166 231
415 350 11
316 87 768
267 319 3
475 283 37
43 416 357
411 484 731
315 301 727
417 199 461
6 136 171
120 475 837
203 390 540
214 58 627
334 178 446
337 153 81
375 48 349
232 311 333
315 127 487
43 396 38
4 403 174
175 23 649
364 226 391
404 292 450
383 478 128
182 315 633
115 42 181
465 127 993
150 442 472
137 337 368
176 341 771
202 368 146
204 85 724
95 341 868
45 225 346
25 259 514
158 374 408
340 339 35
185 490 830
157 479 167
25 7 861
297 210 81
443 414 666
20 9 508
388 407 585
235 284 344
249 443 218
9 135 910
45 320 752
227 477 231
246 354 739
459 151 801
41 447 715
207 319 576
67 207 835
152 294 620
496 43 915
67 405 550
477 302 222
229 29 51
312 127 757
403 87 761
204 128 208
271 187 879
200 255 586
35 259 381
155 256 776
70 323 181
472 152 983
449 45 492
207 449 931
468 5 411
28 129 598
407 329 705
345 216 965
226 372 73
355 294 248
36 119 400
372 165 633
236 467 530
80 174 831
11 494 689
422 374 818
373 281 499
430 126 215
247 205 587
172 60 234
420 448 353
172 320 870
157 57 837
188 489 363
371 1 209
60 275 583
230 0 716
229 431 843
445 30 400
384 203 460
470 123 260
323 148 81
194 305 990
383 345 479
99 217 832
308 129 108
392 360 960
108 441 391
303 386 774
203 123 477
15 93 452
276 269 100
209 315 758
199 198 603
30 149 172
363 458 154
323 350 14
283 310 955
27 466 194
301 169 669
278 37 614
82 165 383
183 374 550
293 425 601
248 455 250
273 170 708
427 493 910
293 129 573
100 156 539
294 457 560
315 87 97
430 169 114
165 204 340
216 349 117
317 98 573
67 371 595
128 298 941
38 91 570
111 191 226
2 338 35
63 5 474
160 287 995
127 453 700
467 21 401
85 190 999
10 257 370
457 237 20
398 128 963
468 239 507
46 242 845
433 157 702
407 169 990
403 296 443
455 116 316
356 53 506
208 415 615
78 372 353
451 123 981
414 91 72
273 490 166
118 423 823
173 183 493
163 86 641
458 393 257
274 101 810
132 309 225
247 388 450
100 191 73
433 457 16
6 231 858
24 201 282
348 374 817
193 37 755
334 347 148
92 121 749
254 105 559
332 353 299
134 305 342
207 91 299
223 97 30
82 473 732
216 173 106
385 366 496
140 201 343
288 145 317
389 251 922
300 435 127
99 69 285
441 276 376
93 352 825
123 286 798
207 354 472
166 239 338
14 379 391
357 19 888
26 408 992
301 209 927
280 160 497
65 454 125
441 47 829
266 22 467
417 230 321
389 396 912
79 410 291
323 119 310
63 498 71
55 151 132
335 431 792
184 349 98
309 290 645
491 409 168
458 326 750
280 67 146
192 146 908
336 469 379
498 33 877
69 440 380
53 275 312
346 459 13
444 121 155
442 112 564
462 70 742
212 350 809
210 395 808
118 231 129
497 81 662
227 151 455
107 204 730
271 402 42
284 199 163
440 493 275
356 455 845
451 167 548
260 377 295
420 347 378
50 196 459
212 423 962
19 31 19
102 154 773
144 439 972
307 231 965
434 439 920
131 390 939
31 3 168
326 423 515
56 473 712
368 38 987
330 57 18
201 159 525
475 155 816
447 462 47
265 248 838
37 380 229
477 411 84
497 90 507
13 498 333
77 366 223
64 197 280
83 398 292
460 225 947
276 173 762
175 290 10
13 179 242
94 156 6
178 6 596
38 19 446
371 96 313
94 160 510
226 95 760
370 55 486
170 183 11
284 358 653
294 224 332
389 318 341
395 497 847
343 387 366
289 258 314
102 204 974
464 282 422
77 153 829
415 323 13
426 107 371
431 253 95
263 494 766
104 389 115
303 84 2
21 226 112
335 328 668
162 145 950
84 222 603
413 489 278
426 267 737
150 198 991
97 461 337
215 418 727
330 73 163
184 95 389
296 430 70
464 92 715
415 28 789
370 442 778
149 220 397
386 222 595
229 320 408
67 35 178
146 218 752
161 402 847
51 199 777
121 15 222
188 430 250
329 153 692
459 302 265
356 40 987
451 122 659
211 41 47
390 39 265
142 200 667
489 103 718
118 76 734
340 264 16
443 445 169
487 256 823
252 112 364
240 415 838
251 127 879
298 17 270
63 159 470
231 0 574
301 118 650
35 311 767
52 254 64
73 241 321
397 494 285
113 86 201
303 337 180
182 136 697
304 51 208
274 282 560
200 436 530
203 471 341
322 375 947
386 301 689
59 198 535
345 163 473
398 466 810
78 0 298
127 304 850
187 430 484
247 131 920
129 186 244
471 8 119
418 246 420
459 158 970
494 3 133
467 253 451
130 183 451
280 310 755
130 349 538
467 448 669
387 77 855
131 400 215
103 171 813
375 130 971
198 477 326
331 296 79
135 426 762
86 207 424
194 189 273
232 156 221
253 396 151
460 379 51
175 482 222
340 210 353
312 408 682
490 91 978
70 226 757
184 165 316
461 359 505
234 443 514
308 196 910
459 156 289
10 183 124
85 23 186
290 187 94
472 178 685
302 100 764
59 284 429
227 245 140
85 332 83
99 492 279
361 451 287
2 313 970
126 398 845
312 188 533
258 12 63
296 315 163
60 374 947
341 454 545
481 39 229
64 138 221
195 351 24
482 353 337
304 332 88
1 144 276
34 255 289
97 51 456
112 463 182
412 304 136
457 285 175
186 349 165
259 44 16
283 378 370
120 182 702
208 183 198
337 70 305
478 19 356
434 132 819
468 44 475
105 353 760
280 391 461
298 150 857
314 285 235
36 257 269
90 466 805
289 155 727
94 485 98
303 271 82
474 239 978
450 344 331
62 477 74
376 275 76
233 441 361
321 478 619
442 68 937
99 209 944
326 156 929
277 459 700
359 285 791
338 87 636
21 150 465
448 26 740
24 111 181
238 432 511
209 227 80
498 326 789
294 5 297
223 282 256
275 493 542
418 183 981
54 57 631
371 5 9
111 381 621
145 471 405
8 32 632
440 30 811
82 324 316
379 399 950
136 26 795
11 351 388
495 223 245
4 186 126
477 183 450
383 192 482
367 132 865
30 66 541
346 446 441
148 434 319
296 316 264
127 179 968
15 174 191
260 31 729
238 360 413
188 243 457
23 463 941
240 493 8
281 192 954
74 192 388
394 488 204
10 115 735
478 482 910
21 242 793
251 481 653
16 21 249
473 396 564
414 136 57
274 418 101
228 344 646
468 90 134
24 453 102
260 283 584
22 305 827
315 408 660
320 424 533
69 249 930
133 163 66
43 290 836
496 18 681
142 339 623
129 363 576
231 123 860
167 497 17
346 312 425
6 133 201
40 54 450
322 40 465
388 435 255
77 283 126
110 426 465
233 55 828
162 138 304
374 305 801
391 152 466
168 10 951
369 402 857
319 224 397
136 465 684
392 42 468
18 4 746
335 89 301
15 251 291
319 125 596
473 368 100
291 36 111
242 405 513
99 76 590
349 213 55
385 457 449
205 327 805
451 162 394
252 29 498
395 349 623
492 174 844
92 465 880
55 59 286
69 10 214
159 211 427
66 97 236
367 302 63
172 254 77
66 358 107
64 254 808
40 98 334
236 42 151
116 98 210
254 19 72
469 30 784
248 96 733
485 315 387
400 487 141
330 405 352
289 322 958
449 214 908
135 450 950
286 66 548
348 321 919
420 142 949
56 390 397
289 227 712
29 480 699
22 162 105
374 451 427
184 252 641
92 387 591
43 173 509
443 21 330
363 293 972
312 202 215
62 491 942
274 372 922
474 395 584
431 269 387
358 306 139
351 398 526
294 293 51
303 237 924
486 452 570
458 116 772
25 178 615
468 453 488
242 279 883
179 210 504
418 68 310
58 271 209
436 65 854
340 368 91
264 354 895
334 165 512
74 10 143
62 253 922
297 284 484
301 202 552
173 401 240
379 241 609
323 357 315
218 44 980
230 2 523
273 428 533
416 342 638
191 139 422
175 441 977
80 405 89
255 430 342
348 309 435
124 351 189
480 206 972
13 475 666
426 45 599
255 125 4
197 233 286
39 433 595
475 242 80
120 218 931
161 175 716
